,user_doc,type,predict,score
0,the rules of chess (also known as the laws of chess) are rules governing the play of the game of chess.,True,False,4.962257842210458
1,"while the exact origins of chess are unclear, modern rules first took form during the middle ages.",True,False,2.5343257449022296
2,"the rules continued to be slightly modified until the early 19th century, when they reached essentially their current form.",True,False,2.346758755573183
3,the rules also varied somewhat from place to place.,True,False,3.1274399021237973
4,"today, the standard rules are set by fide (fédération internationale des échecs), the international governing body for chess.",True,False,2.815066004079251
5,slight modifications are made by some national organizations for their own purposes.,True,False,1.1239490324422692
6,"there are variations of the rules for fast chess, correspondence chess, online chess, and chess960.",True,False,3.7178124613652184
7,chess is a two-player board game using a chessboard and sixteen pieces of six types for each player.,True,False,3.6523270183438874
8,each type of piece moves in a distinct way.,True,False,4.6693218657433375
9,the object of the game is to checkmate (threaten with inescapable capture) the opponent's king.,True,False,3.378812546426039
10,games do not necessarily end in checkmate; players often resign if they believe they will lose.,True,False,3.369289394531481
11,a game can also end in a draw in several ways.,True,False,5.737784328634419
12,"besides the basic moves of the pieces, rules also govern the equipment used, time control, conduct and ethics of players, accommodations for physically challenged players, and recording of moves using chess notation.",True,False,2.5995084442682557
13,procedures for resolving irregularities that can occur during a game are provided as well.,True,False,2.1589062262243237
14,"== initial setup ==

chess is played on a chessboard, a square board divided into 64 squares (eight-by-eight) of alternating color, which is similar to that used in draughts (checkers) (fide 2008).",True,False,2.418822156769577
15,"no matter what the actual colors of the board, the lighter-colored squares are called ""light"" or ""white"", and the darker-colored squares are called ""dark"" or ""black"".",True,False,3.1397315818136136
16,"sixteen ""white"" and sixteen ""black"" pieces are placed on the board at the beginning of the game.",True,False,3.748780489403349
17,the board is placed so that a white square is in each player's near-right corner.,True,False,4.3407451061022035
18,horizontal rows are called ranks and vertical rows are called files.,True,False,3.5743483047197824
19,"each player controls sixteen pieces:

at the beginning of the game, the pieces are arranged as shown in the diagram: for each side one king, one queen, two rooks, two bishops, two knights, and eight pawns.",True,False,3.1988669158625664
20,"the pieces are placed, one on a square, as follows:

the rooks are placed on the outside corners, right and left edge.",True,False,3.0682951368884623
21,the knights are placed immediately inside of the rooks.,True,False,4.681827239493079
22,the bishops are placed immediately inside of the knights.,True,False,4.7456451999455185
23,the queen is placed on the central square of the same color of that of the player: white queen on the white square and black queen on the black square.,True,False,3.933979964802641
24,the king takes the vacant spot next to the queen.,True,False,5.790691984916807
25,"the pawns are placed one square in front of all of the other pieces.popular mnemonics used to remember the setup are ""queen on her own color"" and ""white on right"".",True,False,3.1086370820568363
26,the latter refers to setting up the board so that the square closest to each player's right is white (schiller 2003:16–17).,True,False,3.3204940035909525
27,"== gameplay ==

the player controlling the white pieces is named ""white""; the player controlling the black pieces is named ""black"".",True,False,3.67359516638259
28,"white moves first, then players alternate moves.",True,False,10.00239036221268
29,"making a move is required; it is not legal to skip a move, even when having to move is detrimental.",True,False,2.4311620113976162
30,"play continues until a king is checkmated, a player resigns, or a draw is declared, as explained below.",True,False,2.9913636470387246
31,"in addition, if the game is being played under a time control players who exceed their time limit lose the game.",True,False,3.5566633272589896
32,the official chess rules do not include a procedure for determining who plays white.,True,False,3.8314399289572676
33,"instead, this decision is left open to tournament-specific rules (e.g.",True,False,2.9243169652083285
34,"a swiss system tournament or round-robin tournament) or, in the case of non-competitive play, mutual agreement, in which case some kind of random choice is often employed.",True,False,2.1425336571104485
35,"a common method is for one player to conceal a piece (usually a pawn) of each color in either hand; the other player chooses a hand to open, and receives the color of the piece that is revealed.",True,False,2.853618292898355
36,"=== movement ===


==== basic moves ====

each type of chess piece has its own method of movement.",True,False,4.468773851948252
37,a piece moves to a vacant square except when capturing an opponent's piece.,True,False,5.330211639073491
38,"except for any move of the knight and castling, pieces cannot jump over other pieces.",True,False,6.702333681144595
39,a piece is captured (or taken) when an attacking enemy piece replaces it on its square (en passant is the only exception).,True,False,3.1342245798354638
40,the captured piece is thereby permanently removed from the game.,True,False,4.635678486905995
41,the king can be put in check but cannot be captured (see below).,True,False,7.640043106327269
42,"the king moves exactly one square horizontally, vertically, or diagonally.",True,False,3.651859439775472
43,"a special move with the king known as castling is allowed only once per player, per game (see below).",True,False,4.415235799154418
44,a rook moves any number of vacant squares horizontally or vertically.,True,False,4.74356392771347
45,it also is moved when castling.,True,False,13.990261052626966
46,a bishop moves any number of vacant squares diagonally.,True,False,5.914064058936604
47,"the queen moves any number of vacant squares horizontally, vertically, or diagonally.",True,False,4.18354301761925
48,"a knight moves to the nearest square not on the same rank, file, or diagonal.",True,False,3.5125793520457504
49,"(this can be thought of as moving two squares horizontally then one square vertically, or moving one square horizontally then two squares vertically—i.e.",True,False,4.120159317409817
50,"in an ""l"" pattern.)",True,False,0.5
