,user_doc,type,predict,score
0,the rules of chess (also known as the laws of chess) are rules governing the play of the game of chess.,True,False,28.714557466550783
1,"while the exact origins of chess are unclear, modern rules first took form during the middle ages.",True,False,14.931005015074557
2,"the rules continued to be slightly modified until the early 19th century, when they reached essentially their current form.",True,False,14.982866591672453
3,the rules also varied somewhat from place to place.,True,False,14.382819995305384
4,"today, the standard rules are set by fide (fédération internationale des échecs), the international governing body for chess.",True,False,17.2101703012584
5,slight modifications are made by some national organizations for their own purposes.,True,False,3.70729755479319
6,"there are variations of the rules for fast chess, correspondence chess, online chess, and chess960.",True,False,19.431472181396973
7,chess is a two-player board game using a chessboard and sixteen pieces of six types for each player.,True,False,19.400072716037087
8,each type of piece moves in a distinct way.,True,False,18.369913436079838
9,the object of the game is to checkmate (threaten with inescapable capture) the opponent's king.,True,False,18.486980233943232
10,games do not necessarily end in checkmate; players often resign if they believe they will lose.,True,False,16.788618227334602
11,a game can also end in a draw in several ways.,True,True,31.44931218196714
12,"besides the basic moves of the pieces, rules also govern the equipment used, time control, conduct and ethics of players, accommodations for physically challenged players, and recording of moves using chess notation.",True,False,25.95692443702394
13,procedures for resolving irregularities that can occur during a game are provided as well.,True,False,10.54966168887441
14,"== initial setup ==

chess is played on a chessboard, a square board divided into 64 squares (eight-by-eight) of alternating color, which is similar to that used in draughts (checkers) (fide 2008).",True,False,25.17334069293175
15,"no matter what the actual colors of the board, the lighter-colored squares are called ""light"" or ""white"", and the darker-colored squares are called ""dark"" or ""black"".",True,False,20.941507123025183
16,"sixteen ""white"" and sixteen ""black"" pieces are placed on the board at the beginning of the game.",True,False,18.987611152240085
17,the board is placed so that a white square is in each player's near-right corner.,True,False,20.064188102445932
18,horizontal rows are called ranks and vertical rows are called files.,True,False,15.083680426152497
19,"each player controls sixteen pieces:

at the beginning of the game, the pieces are arranged as shown in the diagram: for each side one king, one queen, two rooks, two bishops, two knights, and eight pawns.",True,False,25.3770087418649
20,"the pieces are placed, one on a square, as follows:

the rooks are placed on the outside corners, right and left edge.",True,False,18.725105379881885
21,the knights are placed immediately inside of the rooks.,True,False,20.98032657990507
22,the bishops are placed immediately inside of the knights.,True,False,20.925553700508907
23,the queen is placed on the central square of the same color of that of the player: white queen on the white square and black queen on the black square.,True,False,25.058231434025476
24,the king takes the vacant spot next to the queen.,True,False,26.319746584135444
25,"the pawns are placed one square in front of all of the other pieces.popular mnemonics used to remember the setup are ""queen on her own color"" and ""white on right"".",True,False,18.74442579914058
26,the latter refers to setting up the board so that the square closest to each player's right is white (schiller 2003:16–17).,True,False,19.483963392557747
27,"== gameplay ==

the player controlling the white pieces is named ""white""; the player controlling the black pieces is named ""black"".",True,False,22.95258566290961
28,"white moves first, then players alternate moves.",True,True,37.85167867689432
29,"making a move is required; it is not legal to skip a move, even when having to move is detrimental.",True,False,11.904144751463203
30,"play continues until a king is checkmated, a player resigns, or a draw is declared, as explained below.",True,False,15.78967597319464
