,user_doc,type,predict,score
0,the rules of chess (also known as the laws of chess) are rules governing the play of the game of chess.,True,False,17.58283603658863
1,"while the exact origins of chess are unclear, modern rules first took form during the middle ages.",True,False,5.675096922450596
2,"the rules continued to be slightly modified until the early 19th century, when they reached essentially their current form.",True,False,5.017906242669724
3,the rules also varied somewhat from place to place.,True,False,9.751889788187468
4,"today, the standard rules are set by fide (fédération internationale des échecs), the international governing body for chess.",True,False,6.271459441282702
5,slight modifications are made by some national organizations for their own purposes.,True,False,0.5714285714285714
6,"there are variations of the rules for fast chess, correspondence chess, online chess, and chess960.",True,False,10.897910002437385
7,chess is a two-player board game using a chessboard and sixteen pieces of six types for each player.,True,False,9.456423724691073
8,each type of piece moves in a distinct way.,True,False,13.375908295741826
9,the object of the game is to checkmate (threaten with inescapable capture) the opponent's king.,True,False,9.940911064089708
10,games do not necessarily end in checkmate; players often resign if they believe they will lose.,True,False,9.013628450625449
11,a game can also end in a draw in several ways.,True,True,25.981963088543367
12,"besides the basic moves of the pieces, rules also govern the equipment used, time control, conduct and ethics of players, accommodations for physically challenged players, and recording of moves using chess notation.",True,False,4.209366859567735
13,procedures for resolving irregularities that can occur during a game are provided as well.,True,False,6.214915744203286
14,"== initial setup ==

chess is played on a chessboard, a square board divided into 64 squares (eight-by-eight) of alternating color, which is similar to that used in draughts (checkers) (fide 2008).",True,False,3.9304302770493504
15,"no matter what the actual colors of the board, the lighter-colored squares are called ""light"" or ""white"", and the darker-colored squares are called ""dark"" or ""black"".",True,False,6.187306759450667
16,"sixteen ""white"" and sixteen ""black"" pieces are placed on the board at the beginning of the game.",True,False,11.113058283574368
17,the board is placed so that a white square is in each player's near-right corner.,True,False,13.372781308371845
18,horizontal rows are called ranks and vertical rows are called files.,True,False,6.16547595448065
19,"each player controls sixteen pieces:

at the beginning of the game, the pieces are arranged as shown in the diagram: for each side one king, one queen, two rooks, two bishops, two knights, and eight pawns.",True,False,7.231415291088672
20,"the pieces are placed, one on a square, as follows:

the rooks are placed on the outside corners, right and left edge.",True,False,7.994192981688487
21,the knights are placed immediately inside of the rooks.,True,False,16.290949404239655
22,the bishops are placed immediately inside of the knights.,True,False,16.26237791776657
23,the queen is placed on the central square of the same color of that of the player: white queen on the white square and black queen on the black square.,True,False,10.85781637996919
24,the king takes the vacant spot next to the queen.,True,True,24.28304663343345
